word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
بارزگانی	بازرگانی 	detected_correct	0	0	0
باژیر	باژێر	باپیر,باهیر,باژێر,بایر,بابیر,باژیرێ,باژار,باکیر,باژیری,باسی	0	1	1
باستێن	بەستێن	باستان,بەستێن,باستێر,باستن,باسیان,بەستن,باسمان,ئاستێک,داستان,بێستون	0	1	1
باشور	باشوور	detected_correct	0	0	0
باوەشین	باوەشێن	باوەشی,باوەشیان,باوەشێن,باوەشیا,باوەڕی,باوەڕیان,باوەش,باوەری,چاوشین,باوەکان	0	1	1
باێەخ	بایەخ	بایەخ,بارەی,باشە,باسە,بابەت,باوەڕ,بایەخی,باڵەک,بارە,باوە	1	1	1
باێەقوش	بایەقوش	بایەقوش,بارەوە,باوەش,باشەو,بارەوه,بابەتەش,باشەوە,باشەو[,باسەوە,قەرەقوش	1	1	1
بایەقۆش	بایەقوش	بایەقوش,بایەخیش,بایەخی,بایەخ,فایەق,بۆیەش,باوەش,بۆیەیش,بایکۆت,فایەق/	1	1	1
بردەوام	بەردەوام	بەردەوام,بەدەوام,بۆدەوام,بەردەوامی,بەردەوامە,بەردەوامن,بردەوە,دەوام,بەردەوامه,بردەوه	1	1	1
برگرتن	بەرگری	بەرگرتن,بەگرتن,بگرن,وەرگرتن,گرتن,بگرین,ڕێگرتن,ڕاگرتن,لێگرتن,نەگرتن	0	0	0
برهەم	بەرهەم	بەرهەم,بەهەم,درهەم,بەم,بەرهەمی,هەم,بکەم,بەردەم,بەهەر,بەرهەمە	1	1	1
بریار	بڕیار	detected_correct	0	0	0
بڕیاڕ	بڕیار	detected_correct	0	0	0
بزوین	بزوێن	بووین,بوین,بزوێن,ببوین,بزوان,بروین,بوون,بکەین,بڵێین,بین	0	1	1
بزوینەر	بزوێنەر	بزوێنەر,بینەر,بووینە,بزوێنەری,بوینە,بزوتنە,خوینەر,بۆینەر,بزوێنەرە,بزوێنە	1	1	1
بش	بەش	detected_correct	0	0	0
بلویر	بلوێر	بلیر,بلوی,بلوێر,بلوور,بلور,بیر,بووین,بووی,بوار,بەشیر	0	1	1
بنەرەتی	بنەڕەتی	detected_correct	0	0	0
بوچی	بۆچی	detected_correct	0	0	0
بوک	بووک	detected_correct	0	0	0
بوکەشووشە	بووکەشووشە	بووکەشووشە,بوکەشوشە,بووکەشووشەی,بوکەوە,بەووشە,لەشووشە,بکەنەوە,بووەوە,بکەوێتە,بکەمەوە	1	1	1
بون	بۆن	detected_correct	0	0	0
بویە	بۆیە	detected_correct	0	0	0
بۆچوۆن	بۆچوون	بۆچوون,بۆچون,بۆچۆن,بۆچوونی,بۆچوونە,بۆچونی,بۆچونە,بۆلتۆن,ڕۆچوون,بۆچوونم	1	1	1
بێچو	بێچوو	بێتو,بێچوە,بچو,بێچوی,بێچوو,بوو,بێت,بێ,بەو,نێو	0	0	1
بیروبوچوون	بیروبۆچوون	بیروبۆچوون,بیروبۆچوونی,بیروبۆچوونە,بیروبۆچون,بیروبۆچوونه,بیربۆچوون,بیروبۆچونی,بیروبۆچونە,بیروبۆچوونێک,لەبیروبۆچوون	1	1	1
بیروەر	بیرەوەر	بیرەوەر,بیروەری,بیرو,بینەر,بیروڕا,سەروەر,بیرە,بیرەوەری,یاوەر,پەروەر	1	1	1
بیرەور	بیرەوەر	بیرەوە,بیرەوەر,بەرەو,بیرو,بینەر,بارەوە,بیرە,بیرەوەری,بیەوێ,برەو	0	1	1
بیرەوری	بیرەوەری	بیرەوەری,بیرەوەی,بینەری,بەدەوری,بیرکاری,برەوی,بیرورای,بیرورا,بیرەوەریی,بیبەری	1	1	1
بیزار	بێزار	detected_correct	0	0	0
بەپیی	بەپێی	detected_correct	0	0	0
بەحەشت	بەهەشت	بەهەشت,بەحەوت,بەدەست,بەمەش,بەوەش,بەهەشتی,بەپشت,بەگشت,بەهەشتە,بەنەوت	1	1	1
بەختەوری	بەختەوەری	بەختەوەری,بەختەوەر,بەدەوری,بەختیاری,بەختەوەریی,بەختەوەرە,بەختەوەرم,بەتەوای,بەختەوەرن,بەخەونی	1	1	1
بەراستی	بەڕاستی	detected_correct	0	0	0
بەرجوند	بەرجەوەند	بەراورد,بەروونی,بەرونی,بەرخورد,بەراود,بەگوند,بەتوند,بەروون,بەربونە,بەربون	0	0	0
بەرجەوند	بەرجەوەند	بەرژەوند,بەرژەوەند,بەرژەوندی,بیرجەند,بەرەو,بەردەوام,بەرژەوەندی,بەراورد,هەرچەند,بەرجەستە	0	0	0
بەرجەوەندە	بەرجەوەند	بەرژەوەندە,بەرژەوەندی,بەرژەوەندیە,بەرژەوەند,هەرئەوەندە,بەرژەوەندى,بەرژەوەندەی,بەرژەوەندا,بەرزەوەندی,بەرژەوەندیی	0	0	0
بەرمووور	بەرموور	بەرەوژوور,بەدوور,فەرمووی,بەرەوڕووی,فەرموو,بەنموونە,مەخموور,بەرووی,فەرموون,فەرموودە	0	0	0
بەرێوەبچێت	بەڕێوەبچێت	detected_correct	0	0	0
بەڕدەڕێژ	بەردەڕێژ	بەردەڕەش,بەڕاوێژ,هەڵدەڕێژن,بەردەبێت,بەبەڕێز,هەڵدەڕێژێ,بەردەبێ,بەدێڕێک,بەندەرێک,بەرپەڕێ	0	0	0
بەزیزە	گەزیزە	گەزیزە,عەزیزە,بەڕیزە,بەهیزە,بەریزە,عەزیز,بەهێزە,بەرزە,بەنیازە,وەزیرە	1	1	1
بەستین	بەستێن	detected_correct	0	0	0
بەسوز	بەسۆز	بەسۆز,بەسود,بەسوک,بەسوێ,بەو,بەسەر,بەوە,بەڕێز,بەرز,بەهێز	1	1	1
بەفیرۆ	بەفیڕۆ	detected_correct	0	0	0
بەهوی	بەهۆی	detected_correct	0	0	0
بەهیز	بەهێز	detected_correct	0	0	0
بەێاخ	بەیاخ	بەداخ,بەشاخ,بەباخ,بەیاخ,بەناخ,بەئاخ,بەڵام,بەلام,بەکار,بەناو	0	0	1
بەێان	بەیان	بەیان,بەوان,بەشان,بەران,بەنان,بەمان,بەهان,بەڵان,دەێان,بەژان	1	1	1
پاشکو	پاشکۆ	پاشکۆ,پاشاو,پاشکۆو,پاکو,پاشکە,پاش,پاشان,تاکو,پێشوو,پاک	1	1	1
پتو	پتەو	پتر,تو,پتەو,پڕو,وتو,پشو,پاو,پو,پێو,پتە	0	1	1
پخشان	پەخشان	پاشان,پیشان,پێشان,پەخشان,پشان,خشان,پێیان,نیشان,پێمان,پلان	0	0	1
پراوێز	پەراوێز	پەراوێز,پیاوێک,پەراوێزی,پارێز,پەروێز,پەڕاوێز,پیاوێ,پەراوێزە,پەراویز,دراوێک	1	1	1
پرژین	پەرژین	پرسین,پەرژین,پرژی,پروین,پرژان,پرسی,دەژین,بژین,بپرسین,پردی	0	1	1
پروانە	پەروانە	پێوانە,پرسانە,بروانە,پەروانە,پردانە,ئەوانە,لەوانە,تاوانە,جوانە,وانە	0	0	1
پشکو	پشکۆ	پشکی,پشوو,پشکا,پشکۆ,پشک,پشو,پشکە,پشکه,پاکو,پشکێ	0	0	1
پنا	پەنا	نا,پەنا,حنا,پلا,پا,انا,أنا,پرا,لنا,بنا	0	1	1
پوچ	پووچ	detected_correct	0	0	0
پوز	پۆز	پوچ,پور,پوش,پول,دوز,ڕوز,پوڵ,پێز,پوک,پو	0	0	0
پولوو	پۆلوو	هولوو,پێشوو,پوور,پلەو,پشوو,مولود,پووچ,پێبوو,پیاوو,پڕبوو	0	0	0
پۆلو	پۆلوو	پۆلی,پۆل,پۆلە,پۆلا,پۆلس,پۆلێ,پۆله,پۆلى,پۆڕو,پەلو	0	0	0
پۆلوۆ	پۆلوو	پۆلیس,پۆلی,یۆلیۆ,پۆل,پۆلێن,پۆلە,پۆلێک,پۆرتۆ,پۆلا,پۆلین	0	0	0
پۆلۆو	پۆلوو	پۆلۆک,پۆلیس,پۆلی,پۆل,پلەو,پۆلێن,پۆلە,پۆلێک,دۆلۆز,پۆیۆل	0	0	0
پێکهنان	پێکهێنان	پێکهێنان,پێکهنانی,پێکهان,پێکهێنانی,پێکەنین,پێکان,پێکهێنا,پێکهات,پێشینان,پێکهاتن	1	1	1
پیتا	پیت	پیتی,پەیتا,پیت,پیتە,پەتا,کیتا,میتا,پیدا,پیتى,پیرا	0	1	1
پیچوانە	پێچەوانە	پیاوانە,پیچەوانە,پیاوان,پیاوانی,پێچەوانە,پیلانە,پیاوانەی,پێوانە,دیوانە,میوانە	0	0	1
پیچەوانە	پێچەوانە	detected_correct	0	0	0
پیروز	پیرۆز	detected_correct	0	0	0
